"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2014","Female","Not applicable","Number","30.13647"
"Afghanistan","2014","All genders","Not applicable","Number","41.60483"
"Afghanistan","2014","Male","Not applicable","Number","52.45112"
"Afghanistan","2013","All genders","Not applicable","Number","42.50006"
"Afghanistan","2013","Male","Not applicable","Number","53.54806"
"Afghanistan","2013","Female","Not applicable","Number","30.80153"
"Afghanistan","2012","All genders","Not applicable","Number","39.01525"
"Afghanistan","2012","Female","Not applicable","Number","28.43821"
"Afghanistan","2012","Male","Not applicable","Number","48.98524"
"Albania","2014","Male","Not applicable","Number","88.86339"
"Albania","2014","All genders","Not applicable","Number","87.99115"
"Albania","2014","Female","Not applicable","Number","87.07422"
"Albania","2013","All genders","Not applicable","Number","90.90201"
"Albania","2013","Female","Not applicable","Number","90.33969"
"Albania","2013","Male","Not applicable","Number","91.43673"
"Albania","2012","All genders","Not applicable","Number","92.56095"
"Albania","2012","Male","Not applicable","Number","92.11024"
"Albania","2012","Female","Not applicable","Number","93.03884"
"Albania","2011","Female","Not applicable","Number","93.31182"
"Albania","2011","Male","Not applicable","Number","89.9917"
"Albania","2011","All genders","Not applicable","Number","91.5933"
"Albania","2010","All genders","Not applicable","Number","90.44747"
"Albania","2010","Male","Not applicable","Number","88.14364"
"Albania","2010","Female","Not applicable","Number","92.9425"
"Albania","2009","Female","Not applicable","Number","88.98669"
"Albania","2009","Male","Not applicable","Number","83.41377"
"Albania","2009","All genders","Not applicable","Number","86.08398"
"Albania","2008","All genders","Not applicable","Number","89.49434"
"Albania","2008","Male","Not applicable","Number","87.99528"
"Albania","2008","Female","Not applicable","Number","91.11563"
"Albania","2007","Female","Not applicable","Number","90.292"
"Albania","2007","Male","Not applicable","Number","88.03862"
"Albania","2007","All genders","Not applicable","Number","89.12481"
"Albania","2006","All genders","Not applicable","Number","89.95751"
"Albania","2006","Male","Not applicable","Number","89.69657"
"Albania","2006","Female","Not applicable","Number","90.23442"
"Albania","2005","Female","Not applicable","Number","89.39574"
"Albania","2005","Male","Not applicable","Number","88.64689"
"Albania","2005","All genders","Not applicable","Number","89.01368"
"Albania","2004","All genders","Not applicable","Number","83.74654"
"Albania","2004","Male","Not applicable","Number","83.71944"
"Albania","2004","Female","Not applicable","Number","83.77457"
"Albania","2003","Female","Not applicable","Number","80.04958"
"Albania","2003","Male","Not applicable","Number","76.29927"
"Albania","2003","All genders","Not applicable","Number","78.14428"
"Albania","2002","All genders","Not applicable","Number","82.5073"
"Albania","2002","Male","Not applicable","Number","83.62643"
"Albania","2002","Female","Not applicable","Number","81.35426"
"Albania","2001","Female","Not applicable","Number","80.6379"
"Albania","2001","Male","Not applicable","Number","80.98719"
"Albania","2001","All genders","Not applicable","Number","80.81455"
"Albania","2000","All genders","Not applicable","Number","77.11345"
"Albania","2000","Male","Not applicable","Number","78.61413"
"Albania","2000","Female","Not applicable","Number","75.59714"
"Albania","1999","All genders","Not applicable","Number","75.78728"
"Albania","1999","Female","Not applicable","Number","78.21162"
"Albania","1999","Male","Not applicable","Number","73.38107"
"Albania","1998","All genders","Not applicable","Number","80.97029"
"Albania","1998","Female","Not applicable","Number","81.93093"
"Albania","1998","Male","Not applicable","Number","80.01411"
"Algeria","2014","Female","Not applicable","Number","107.09563"
"Algeria","2014","Male","Not applicable","Number","95.2657"
"Algeria","2014","All genders","Not applicable","Number","101.06211"
"Angola","2011","All genders","Not applicable","Number","24.57946"
"Angola","2011","Female","Not applicable","Number","21.9824"
"Angola","2011","Male","Not applicable","Number","27.19051"
"Angola","2010","All genders","Not applicable","Number","24.73764"
"Angola","2010","Male","Not applicable","Number","27.39661"
"Angola","2010","Female","Not applicable","Number","22.09891"
"Angola","2009","All genders","Not applicable","Number","24.91581"
"Angola","2009","Female","Not applicable","Number","22.22623"
"Angola","2009","Male","Not applicable","Number","27.63372"
"Angola","2008","All genders","Not applicable","Number","24.32245"
"Angola","2008","Male","Not applicable","Number","27.37822"
"Angola","2008","Female","Not applicable","Number","21.30581"
"Antigua and Barbuda","2014","Male","Not applicable","Number","80.47264"
"Antigua and Barbuda","2014","All genders","Not applicable","Number","81.41593"
"Antigua and Barbuda","2014","Female","Not applicable","Number","82.39075"
"Antigua and Barbuda","2012","All genders","Not applicable","Number","91.41066"
"Antigua and Barbuda","2012","Female","Not applicable","Number","99.74779"
"Antigua and Barbuda","2012","Male","Not applicable","Number","83.16708"
"Antigua and Barbuda","2011","All genders","Not applicable","Number","109.03388"
"Antigua and Barbuda","2011","Male","Not applicable","Number","107.45891"
"Antigua and Barbuda","2011","Female","Not applicable","Number","110.58531"
"Antigua and Barbuda","2010","All genders","Not applicable","Number","82.96669"
"Antigua and Barbuda","2010","Female","Not applicable","Number","87.54624"
"Antigua and Barbuda","2010","Male","Not applicable","Number","78.20513"
"Antigua and Barbuda","2009","Female","Not applicable","Number","93.17905"
"Antigua and Barbuda","2009","Male","Not applicable","Number","78.64583"
"Antigua and Barbuda","2009","All genders","Not applicable","Number","86.15481"
"Antigua and Barbuda","2008","Female","Not applicable","Number","105.4878"
"Antigua and Barbuda","2008","All genders","Not applicable","Number","96.18321"
"Antigua and Barbuda","2008","Male","Not applicable","Number","86.03723"
"Antigua and Barbuda","2007","Female","Not applicable","Number","98.88337"
"Antigua and Barbuda","2007","Male","Not applicable","Number","86.32011"
"Antigua and Barbuda","2007","All genders","Not applicable","Number","92.90826"
"Argentina","2013","All genders","Not applicable","Number","87.24584"
"Argentina","2013","Male","Not applicable","Number","79.9232"
"Argentina","2013","Female","Not applicable","Number","94.81356"
"Argentina","2012","Male","Not applicable","Number","75.31403"
"Argentina","2012","Female","Not applicable","Number","91.90035"
"Argentina","2012","All genders","Not applicable","Number","83.47076"
"Argentina","2011","Male","Not applicable","Number","73.10222"
"Argentina","2011","All genders","Not applicable","Number","80.61032"
"Argentina","2011","Female","Not applicable","Number","88.37116"
"Argentina","2010","Female","Not applicable","Number","83.12045"
"Argentina","2010","Male","Not applicable","Number","68.54469"
"Argentina","2010","All genders","Not applicable","Number","75.71055"
"Argentina","2009","All genders","Not applicable","Number","77.11652"
"Argentina","2009","Male","Not applicable","Number","69.39416"
"Argentina","2009","Female","Not applicable","Number","85.10122"
"Argentina","2008","Female","Not applicable","Number","83.42718"
"Argentina","2008","Male","Not applicable","Number","67.76974"
"Argentina","2008","All genders","Not applicable","Number","75.46908"
"Argentina","2007","All genders","Not applicable","Number","75.13806"
"Argentina","2007","Male","Not applicable","Number","67.88159"
"Argentina","2007","Female","Not applicable","Number","82.632"
"Argentina","2006","Female","Not applicable","Number","84.20907"
"Argentina","2006","Male","Not applicable","Number","69.67419"
"Argentina","2006","All genders","Not applicable","Number","76.8287"
"Argentina","2005","All genders","Not applicable","Number","74.04258"
"Argentina","2005","Male","Not applicable","Number","65.93816"
"Argentina","2005","Female","Not applicable","Number","82.39499"
"Argentina","2004","Female","Not applicable","Number","85.02603"
"Argentina","2004","Male","Not applicable","Number","69.62705"
"Argentina","2004","All genders","Not applicable","Number","77.21684"
"Argentina","2003","All genders","Not applicable","Number","80.97182"
"Argentina","2003","Male","Not applicable","Number","73.58126"
"Argentina","2003","Female","Not applicable","Number","88.56853"
"Argentina","2002","Female","Not applicable","Number","91.53687"
"Argentina","2002","Male","Not applicable","Number","73.69448"
"Argentina","2002","All genders","Not applicable","Number","82.49309"
"Argentina","2001","All genders","Not applicable","Number","80.90669"
"Argentina","2001","Male","Not applicable","Number","72.60609"
"Argentina","2001","Female","Not applicable","Number","89.44244"
"Argentina","2000","Female","Not applicable","Number","86.62765"
"Argentina","2000","Male","Not applicable","Number","71.52539"
"Argentina","2000","All genders","Not applicable","Number","78.96939"
"Argentina","1999","All genders","Not applicable","Number","85.25434"
"Argentina","1999","Male","Not applicable","Number","77.24776"
"Argentina","1999","Female","Not applicable","Number","93.49504"
"Armenia","2014","Male","Not applicable","Number","107.20136"
"Armenia","2014","All genders","Not applicable","Number","106.06893"
"Armenia","2014","Female","Not applicable","Number","104.82793"
"Armenia","2011","Male","Not applicable","Number","78.22892"
"Armenia","2011","Female","Not applicable","Number","100.3134"
"Armenia","2011","All genders","Not applicable","Number","88.2234"
"Armenia","2010","Male","Not applicable","Number","101.17647"
"Armenia","2010","All genders","Not applicable","Number","109.40903"
"Armenia","2010","Female","Not applicable","Number","119.83382"
"Armenia","2009","Male","Not applicable","Number","85.97237"
"Armenia","2009","Female","Not applicable","Number","108.15212"
"Armenia","2009","All genders","Not applicable","Number","95.72857"
"Armenia","2008","Male","Not applicable","Number","86.03726"
"Armenia","2008","All genders","Not applicable","Number","96.47417"
"Armenia","2008","Female","Not applicable","Number","109.50473"
"Armenia","2007","All genders","Not applicable","Number","92.8129"
"Armenia","2007","Female","Not applicable","Number","106.98988"
"Armenia","2007","Male","Not applicable","Number","81.00883"
"Armenia","2006","All genders","Not applicable","Number","95.01986"
"Armenia","2006","Male","Not applicable","Number","89.23418"
"Armenia","2006","Female","Not applicable","Number","101.67485"
"Armenia","2005","All genders","Not applicable","Number","90.36467"
"Armenia","2005","Female","Not applicable","Number","94.48937"
"Armenia","2005","Male","Not applicable","Number","86.64626"
"Armenia","2004","Female","Not applicable","Number","85.32965"
"Armenia","2004","Male","Not applicable","Number","78.42081"
"Armenia","2004","All genders","Not applicable","Number","81.74956"
"Aruba","2014","Female","Not applicable","Number","50.81522"
"Aruba","2014","All genders","Not applicable","Number","51.64761"
"Aruba","2014","Male","Not applicable","Number","52.46338"
"Aruba","2013","All genders","Not applicable","Number","55.65975"
"Aruba","2013","Male","Not applicable","Number","54.05046"
"Aruba","2013","Female","Not applicable","Number","57.2973"
"Aruba","2010","Male","Not applicable","Number","62.29086"
